1696,-256,16728,-398,12,-191
1188,-356,16772,-657,1255,-205
1668,-284,16772,-651,1168,-227
1876,-304,16864,-299,-101,-3165
1224,-408,16800,-541,38,-3377
1544,-268,16708,-451,174,-2142
-1724,-548,11256,612,-4056,-6530
2204,-492,16708,-290,1093,-148
1872,-464,16772,-399,110,-190
1960,-456,16528,-335,265,-189
2184,-564,16548,-52,1028,-175
2868,-552,16844,-447,-69,2674
2036,-552,16824,-514,257,3710
1760,-552,16908,151,5514,4562
808,268,16552,1073,2514,7065
1220,-156,17656,-3861,-1380,5330
1616,-3228,13048,-746,3369,-4764
-2064,1048,14984,4059,3337,3715
80,-1056,16768,5233,-3262,3682
-2332,60,17904,-746,-1201,1721
-424,252,17988,-3110,123,1035
836,240,17728,-2150,691,-1091
-432,944,15392,-986,-1487,-684
312,-520,18000,-170,133,401
296,-1132,16548,-238,-55,239
628,96,15744,-79,-978,-153
544,-104,17008,-113,-508,19
356,348,16500,-523,-655,669
608,-172,17180,-1000,747,-315
908,556,15752,-129,-477,866
1600,-20,16616,-506,-586,575
228,280,16316,1014,-704,-4
428,432,16976,1287,242,374
716,456,16360,-334,1006,-69
640,-176,18276,-62,5153,986
-1352,-444,16788,-2318,5940,-850
-3080,-104,15640,-569,9557,283
-5464,-284,14736,-149,9911,-1032
-6656,-504,12816,249,-2915,-628
-5756,-248,15084,1568,-7943,1234
-4700,368,15160,1043,-4520,1301
-4668,484,16108,701,-2242,-218
-4276,808,15840,1094,-195,-785
-6212,628,15616,338,981,-2020
-4684,928,16588,-1116,8425,-5994
-5768,280,14136,-1084,5580,-3830
-6020,128,12652,941,990,-1924
-6604,-108,14840,572,612,-803
-6716,52,14408,314,923,-931
-7644,-144,14332,441,-103,-789
-7572,-180,14256,-354,621,-615
-7972,92,14020,-516,660,217
-7772,288,13948,49,-2559,-294
-6584,712,12840,871,-3367,969
-7008,584,14416,1173,-697,-68
-7424,480,14536,1934,-1571,679
-6488,1700,14732,3728,-4551,4342
672,3572,13428,13949,-20293,26076
16996,12068,13964,6966,24455,6555
-29024,-3536,-2496,8361,24338,-32399
-32768,-1372,9388,-8056,-32768,31226
32767,8808,8608,-6211,32767,-20179
-32768,-2788,-4468,10302,4348,-22230
2296,1796,10112,-5586,-25928,32767
-72,4324,6900,5213,26639,-25269
-32768,-6460,4384,2353,-32768,24925
32767,8984,15828,4300,11613,7940
-32768,-3928,5520,-7512,4830,-15414
27200,9540,12320,-3480,-497,21587
-23612,-192,13772,-12851,2832,-18463
-6748,4680,13684,-1968,-1175,-1481
-6432,4952,12976,-1328,1286,-5807
-1440,2092,11884,-2111,10649,-21593
-20096,-6392,10900,-13096,22661,-32768
-26528,-8052,9384,15867,-32768,19499
18924,-4036,1840,6165,4331,32767
-23260,5568,-1128,5222,-32768,32767
8400,13996,8628,8002,-24144,22167
-7772,12796,13716,6709,-7614,-6659
1444,11144,12352,11451,-2019,-3903
868,13844,6912,1427,2723,-4241
2732,14272,9992,1435,-200,-1558
2456,14748,8612,-2388,3880,-2502
1564,13868,6724,-466,861,-371
1008,13552,8436,-2345,1404,-502
548,13888,9232,-2629,4505,-1806
960,13812,8344,-153,-713,514
1776,13532,8196,-893,626,-404
0,14084,8784,-776,156,-118
444,13788,8104,473,-250,-119
444,13816,8228,-277,241,-115
540,14112,7476,-529,-91,-118
60,13828,7988,-134,-790,-39
1756,13120,9652,-994,15270,-8432
-24224,9268,-3772,17286,11035,-32731
-5912,9816,10688,-11171,-32768,32767
24860,9472,980,5185,704,7886
-32768,4852,12676,685,-6059,-18377
-4752,6392,9664,-7807,-888,29282
32767,13460,9452,553,-126,-22515
-32768,2808,-424,5610,1637,-5292
32767,13832,10432,1308,-3610,26355
-21160,3716,7492,5193,-9703,-31855
-17784,5760,8580,-1096,-645,32767
32767,9340,12740,-1221,-1722,-28575
-32768,2724,644,-810,1969,14249
32767,12852,4044,4415,3210,-12468
-32768,396,8792,4056,-572,-26632
24284,12232,9068,5441,142,24266
-7912,10448,10572,1172,-3695,-11901
-7620,12172,6272,150,-1794,3901
-2940,13632,10496,-250,-778,450
-5348,11356,7284,-891,248,-11
-2848,13092,8872,-1202,-234,-293
-4220,12584,9132,306,-659,-205
-3580,12068,8320,-591,783,142
-3228,12600,9004,-828,99,-391
-3892,12536,8780,-1000,-833,-193
-4192,11680,8892,-3758,3781,-5251
-6092,10412,10584,-5058,10671,-18430
-12124,6912,8216,-2545,11079,-20557
-12800,3100,6980,-4738,579,-19136
-13900,-480,10268,-666,4128,-11228
-11408,-1076,5692,-2241,-653,4176
-11200,-604,7076,2821,-1119,2860
-13256,-1400,7012,-1994,-964,1100
-13532,-1996,5160,-312,1483,-1014
-12940,-2880,5800,-1611,3458,-8337
-9144,-8752,496,-15840,30696,-24133
-17948,-7700,156,13115,-23009,9405
-7720,-17088,1892,30524,-32768,32767
-7672,4168,12724,-5033,32767,28874
-4300,5084,-936,29634,20962,-32768
-32768,-16572,-10684,-3182,-21152,2484
23228,-3652,9080,-12005,2837,32767
26840,5776,-2228,17624,13510,-32768
-32768,-21600,-2668,14259,-5250,-18072
-25544,-14428,9732,-12336,-23374,32767
32767,11916,1644,-1565,14028,-1007
-32768,-20048,-2420,11668,20623,-32768
-32768,-5080,5832,-15771,-32669,32767
32767,476,-29024,8898,-17196,9821
-20620,8,21636,-12449,32767,-32768
-32768,-5156,-9796,-11409,-20059,32767
32767,13048,3928,8084,-4564,19928
-32768,-14252,-4068,13040,10319,-32768
-22252,908,17000,-23823,-12464,32767
27100,10752,-4244,3247,5183,-8655
-12936,-14728,476,19750,6428,-32768
-32768,-9604,-6748,-8576,5543,-796
23260,2664,7592,7054,-9248,32767
22456,11616,8392,4722,17736,-1621
-14552,9116,3364,5521,9650,-23353
-32768,-908,-6384,-13242,-32768,32767
32767,6124,11044,-8797,32767,-25319
-32768,-9124,-9512,15966,17032,-32768
-13092,-1732,7872,-14707,-32768,32767
30400,9980,-3128,-151,9413,-14039
-32768,-3516,-128,1649,22063,-32768
-12604,4108,12720,-13354,-3077,30315
21648,4588,2860,-250,4724,-32768
-32768,-11824,3944,-1767,860,-18661
-1896,-144,17660,-414,-9416,32767
31884,7976,-4772,-5871,4519,-20879
-32768,-5732,13168,-4467,5714,-30947
-5048,-104,16308,5786,-11082,32767
30492,3904,-6660,-8114,21448,-28454
-27704,-6700,11760,-6245,12588,-32768
-20976,-2040,11092,-9292,-14256,32767
32767,6832,-1896,2860,3134,-15517
-32768,-5024,13132,-3333,-2574,-31253
-8320,-3460,17568,317,-7540,32767
26316,-2380,-7884,-13872,6663,-32768
-32768,1828,30940,3413,82,14814
18664,10084,3712,3272,-2678,3822
-13572,6792,11200,-2806,-2712,-5445
-3576,8268,15932,-1786,-251,2335
-7040,7300,11592,788,-247,-1778
-5548,8016,12716,-882,-283,-2145
-740,3024,11316,-11337,-12106,-32768
-7880,76,12584,-2198,-11950,-9629
-3248,-2316,13240,-2921,2459,357
-6660,-2908,13120,5190,-7462,4329
-5904,-132,15528,7568,-6757,8326
-1980,2904,17472,3502,-3274,5548
-848,3728,15684,-1284,0,2547
-844,3800,15752,-1475,379,453
-1228,3700,14636,1,-3748,-2494
-788,3084,16632,-2431,-535,-3105
-2492,1876,15612,-3809,-138,-1196
-1632,2240,15468,-1701,982,-2061
100,1176,16336,-15845,3741,-2095
-1276,-712,14896,4219,-3755,3430
2024,2512,19036,-2568,-11578,4966
3036,3068,15504,740,360,-472
2924,-472,16572,-454,267,-302
2600,-172,17044,-285,2571,-153